TRI Facility Name,TRI Facility ID,Year,Census Tract,Census Block Group,Demographic Index Percentile,Supplemental Demographic Index Percentile,People of Color Percentile,Low Income Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,Under Age 5 Percentile,Over Age 64 Percentile,ZIP Code,Street Address,City,Latitude,Longitude,Chemical,Industry Sector,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
STERILIZATION SERVICES OF GEORGIA,30336STRLZ6005B,2022,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6005 BOAT ROCK BLVD SW,"ATLANTA, GA",33.72623,-84.58422,Ethylene oxide (75-21-8),339 Miscellaneous Manufacturing,42.24,42.24,0.0,0,0.0,109737.42,410277120000,0
WILLIAM C. MEREDITH CO. INC.,30344WLLMC2335L,2022,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2335 LAWRENCE ST,"EAST POINT, GA",33.690724,-84.440188,Pentachlorophenol (87-86-5),321 Wood Products,28.64,0.0,24.0,0,4.64,1268.0,11754496000,0
CLOROX PRODUCTS MANUFACTURING CO,30050CLRXC17LAK,2022,13063040308,130630403081,94,97,83,96,65,95,96,0,17,30297,17 LAKE MIRROR RD,"FOREST PARK, GA",33.627222,-84.386839,Certain glycol ethers (N230),325 Chemicals,27.82,10.81,0.0,0,17.0,223.36,7123532,0
OWENS CORNING INSULATING SYSTEMS LLC FAIRBURN GA,30213WNSCR7000M,2022,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7000 MCLARIN RD,"FAIRBURN, GA",33.538889,-84.616667,Cobalt (7440-48-4),327 Nonmetallic Mineral Product,20.0,1.0,0.0,0,19.0,11587.0,300220000000,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,"1,2,4-Trimethylbenzene (95-63-6)",325 Chemicals,17.7,17.7,0.0,0,0.0,19.7,906488,0
OWENS CORNING INSULATING SYSTEMS LLC FAIRBURN GA,30213WNSCR7000M,2022,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7000 MCLARIN RD,"FAIRBURN, GA",33.538889,-84.616667,Chromium (7440-47-3),327 Nonmetallic Mineral Product,17.0,0.0,0.0,0,17.0,10500.0,83911490000,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Cobalt compounds (N096),325 Chemicals,5.9,5.9,0.0,0,0.0,5.9,88564900000,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,"N,N-Dimethylaniline (121-69-7)",325 Chemicals,4.42,4.42,0.0,0,0.0,4.42,10537722,0
HM SOUTHEAST CONCRETE LLC - TYRONE PLANT,3029WFRBRN1PEGG,2022,13113140203,131131402033,53,26,68,18,60,0,47,96,39,30290,100 PEGGY LN,"TYRONE, GA",33.49602,-84.57894,Lead (7439-92-1),327 Nonmetallic Mineral Product,0.6,0.6,0.0,0,0.0,0.6,12230080,0
HM SOUTHEAST CONCRETE LLC - FAIRBURN PLANT,3021WFRBRN387BA,2022,13121010528,131210105283,90,56,90,79,0,0,0,0,0,30213,387 BAY ST NE,"FAIRBURN, GA",33.57077,-84.5703,Lead (7439-92-1),327 Nonmetallic Mineral Product,0.31,0.31,0.0,0,0.0,0.31,6245018,0
THOMAS CONCRETE - BEN HILL,3033WTHMSC2454D,2022,13121007710,131210077103,92,57,92,83,0,0,0,0,43,30331,2454 DANIELS ROAD,"ATLANTA, GA",33.68739,-84.51495,Lead compounds (N420),327 Nonmetallic Mineral Product,0.25,0.25,0.0,0,0.0,0.25,5158486,1
ARGOS RED OAK CONCRETE PLANT,30337RDKCN2685S,2022,13121010522,131210105222,90,53,96,71,52,0,0,92,4,30337,2685 SULLIVAN RD,"COLLEGE PARK, GA",33.62472,-84.47552,Lead (7439-92-1),327 Nonmetallic Mineral Product,0.14,0.14,0.0,0,0.0,0.14,2822951,0
THOMAS CONCRETE - TYRONE,3029WTHMSC185PE,2022,13113140203,131131402033,53,26,68,18,60,0,47,96,39,30290,185 PEGGY LN,"TYRONE, GA",33.495223,-84.581484,Lead compounds (N420),327 Nonmetallic Mineral Product,0.11,0.11,0.0,0,0.0,0.11,2274608,1
WILLIAM C. MEREDITH CO. INC.,30344WLLMC2335L,2022,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2335 LAWRENCE ST,"EAST POINT, GA",33.690724,-84.440188,Dioxin and dioxin-like compounds (N150),321 Wood Products,0.01,0.0,0.01,0,0.0,0.48,55293360,0
BEST BLOCK - GEORGIA PLANT,3021WBSTBL7685B,2022,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7685 BISHOP RD,"FAIRBURN, GA",33.545361,-84.62111,Lead (7439-92-1),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
BRENNTAG MID-SOUTH INC.,30344PBSCH2225L,2022,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2225 LAWERENCE AVE,"EAST POINT, GA",33.69,-84.44,Ethylene glycol (107-21-1),4246 Chemical Wholesalers,0.0,0.0,0.0,0,0.0,0.0,0,0
KOR-CHEM INC,30336KRCHM5800B,2022,13121010312,131210103122,75,18,97,4,45,0,57,17,73,30336,5800 BUCKNELL DR,"ATLANTA, GA",33.74407,-84.57048,Certain glycol ethers (N230),325 Chemicals,0.0,0.0,0.0,0,0.0,0.0,0,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2022,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Copper compounds (N100),311 Food,0.0,0.0,0.0,0,0.0,0.0,0,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2022,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Propylene (115-07-1),311 Food,0.0,0.0,0.0,0,0.0,0.0,0,0
NITRO QUIMICA CORP,30337SCHLL2300W,2022,13121010603,131210106033,99,87,93,99,0,0,0,54,6,30337,2300 W POINT AVE,"ATLANTA, GA",33.63617,-84.46188,Methyl isobutyl ketone (108-10-1),325 Chemicals,0.0,0.0,0.0,0,0.0,0.0,0,0
NITRO QUIMICA CORP,30337SCHLL2300W,2022,13121010603,131210106033,99,87,93,99,0,0,0,54,6,30337,2300 W POINT AVE,"ATLANTA, GA",33.63617,-84.46188,Xylene (mixed isomers) (1330-20-7),325 Chemicals,0.0,0.0,0.0,0,0.0,0.0,0,0
PAVESTONE - TYRONE GA PLANT,3029WPVSTN169PE,2022,13113140203,131131402033,53,26,68,18,60,0,47,96,39,30290,169 PEGGY LN,"TYRONE, GA",33.497216,-84.58073,Lead (7439-92-1),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
POREX CORP,30213PRXTC500BO,2022,13121010519,131210105191,97,91,86,98,0,91,64,94,39,30213,500 BOHANNON RD,"FAIRBURN, GA",33.55411,-84.593782,Mercury (7439-97-6),326 Plastics and Rubber,0.0,0.0,0.0,0,0.0,0.0,0,0
READY MIX USA LLC - COLLEGE PARK PLANT,3033WRDYMX4679R,2022,13121010603,131210106033,99,87,93,99,0,0,0,54,6,30337,2194 W POINT AVE,"ATLANTA, GA",33.63673,-84.46115,Lead compounds (N420),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
READY MIX USA LLC - COLLEGE PARK PLANT,3033WRDYMX4679R,2022,13121010603,131210106033,99,87,93,99,0,0,0,54,6,30337,2194 W POINT AVE,"ATLANTA, GA",33.63673,-84.46115,Nitrate compounds (water dissociable) (N511),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
STERILIZATION SERVICES OF GEORGIA,30336STRLZ6005B,2022,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6005 BOAT ROCK BLVD SW,"ATLANTA, GA",33.72623,-84.58422,Ethylene glycol (107-21-1),339 Miscellaneous Manufacturing,0.0,0.0,0.0,0,0.0,328020.0,0,0
STO CORP,30331STCRP6175R,2022,13121010313,131210103131,82,30,97,36,29,0,30,60,37,30331,6175 RIVERSIDE DR SW,"ATLANTA, GA",33.70942,-84.58968,Zinc compounds (N982),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
UFP UNION CITY LLC,30291NVRSL6843G,2022,13121010528,131210105282,79,26,93,26,71,0,0,0,0,30291,5200 HWY 138 SUITE 100,"UNION CITY, GA",33.56946,-84.55475,Copper compounds (N100),321 Wood Products,0.0,0.0,0.0,0,0.0,0.0,0,0
UFP UNION CITY LLC,30291NVRSL6843G,2022,13121010528,131210105282,79,26,93,26,71,0,0,0,0,30291,5200 HWY 138 SUITE 100,"UNION CITY, GA",33.56946,-84.55475,Sodium nitrite (7632-00-0),321 Wood Products,0.0,0.0,0.0,0,0.0,0.0,0,0
VALVOLINE,30337VLVLN4680E,2022,13121010604,131210106041,93,83,91,87,78,75,48,38,0,30337,4680 EDISON DR,"COLLEGE PARK, GA",33.628128,-84.464652,Zinc compounds (N982),324 Petroleum Products,0.0,0.0,0.0,0,0.0,0.0,0,0
WILLIAM C. MEREDITH CO. INC.,30344WLLMC2335L,2022,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2335 LAWRENCE ST,"EAST POINT, GA",33.690724,-84.440188,Polycyclic aromatic compounds (N590),321 Wood Products,0.0,0.0,0.0,0,0.0,0.7,0,0
